timestamp,x,y,z
1766059925.904766,-4771.858333,763.272007,-37.778719
1766059925.924766,-4774.038052,757.604362,-36.429848
1766059925.944766,-4776.175879,753.017452,-35.142635
1766059925.964766,-4777.890191,750.769620,-38.187713
1766059925.984766,-4779.835882,745.075639,-34.315069
1766059926.004766,-4781.589759,740.530866,-34.745393
1766059926.024765,-4782.909159,736.782013,-35.548556
1766059926.044765,-4783.850622,732.988639,-34.754698
1766059926.064765,-4784.883797,727.646646,-31.751264
1766059926.084765,-4785.254536,724.722659,-34.812752
1766059926.104765,-4785.976779,720.065935,-31.295516
1766059926.124765,-4786.495568,715.955293,-32.418135
1766059926.144766,-4786.863633,715.532490,-32.310855
1766059926.164766,-4787.418017,707.003065,-33.129613
1766059926.184766,-4787.111962,705.392807,-33.662556
1766059926.204766,-4787.423032,699.482108,-34.539321
1766059926.224766,-4788.137190,692.232176,-34.714866
1766059926.244766,-4787.805164,691.259563,-32.607829
1766059926.264766,-4788.187597,686.131320,-33.258868
1766059926.284765,-4788.809342,680.706975,-33.949459
1766059926.304765,-4788.531191,677.561063,-32.626436
1766059926.324765,-4788.235069,674.094873,-31.808968
1766059926.344765,-4788.329066,668.031129,-33.509647
1766059926.364765,-4787.940029,663.445077,-35.841171
1766059926.384765,-4787.613041,655.815195,-36.881942
1766059926.404766,-4786.820235,652.709604,-34.367714
1766059926.424766,-4786.340697,647.850987,-33.542597
1766059926.444766,-4785.951792,642.875357,-36.527407
1766059926.464766,-4785.369695,638.445652,-37.149133
1766059926.484766,-4784.593538,633.404950,-34.545511
1766059926.504766,-4783.843753,628.894396,-36.250593
1766059926.524765,-4783.376481,624.388261,-35.301600
1766059926.544765,-4782.958171,619.364013,-33.976428
1766059926.564765,-4782.474062,615.683475,-34.170334
1766059926.584765,-4781.757030,612.091074,-35.055009
1766059926.604765,-4781.459059,606.995311,-36.587214
1766059926.624765,-4781.372671,602.804648,-36.433389
1766059926.644766,-4781.009962,598.284070,-35.964080
1766059926.664766,-4780.967291,590.620602,-39.254637
